443,13800.5,199.2,376.2,14283.6,19039.0,212.4,312.4,19586.2,20702.1,164.1,237.2,21073.0,
444,15984.3,205.0,367.3,16474.0,21991.0,207.8,324.0,22588.7,23889.5,164.3,271.5,24212.8,
445,18168.2,210.8,358.4,18664.5,24942.9,203.2,335.6,25591.3,27076.8,164.5,305.8,27352.5,
446,20263.6,212.0,355.1,20808.1,27826.1,207.1,353.6,28477.2,30172.5,181.4,308.5,30424.9,
447,22296.0,210.0,355.7,22918.4,30660.3,216.9,376.3,31280.3,33202.9,210.2,288.8,33449.2,
448,24337.1,208.2,359.1,25036.8,33501.8,225.9,397.3,34093.8,36241.0,238.0,270.6,36483.8,
449,26504.4,210.6,403.2,27273.5,36448.7,222.8,393.8,37061.2,39389.7,252.9,276.4,39666.1,
450,28671.6,212.9,447.4,29510.2,39395.7,219.7,390.4,40028.5,42538.3,267.9,282.1,42848.4,
451,30811.6,223.4,454.8,31664.6,42224.6,235.6,384.1,42902.3,45533.2,262.8,291.8,45859.6,
452,32929.2,240.5,431.9,33751.3,44956.5,267.3,375.5,45699.2,48401.6,241.4,304.8,48730.3,
453,34986.8,257.3,409.8,35779.4,47610.5,297.4,366.7,48414.5,51185.2,221.9,316.8,51513.5,
454,35534.2,264.4,405.8,36328.8,48300.4,289.8,352.8,49074.2,51829.6,251.4,305.0,52093.6,
455,36081.6,271.4,401.7,36878.2,48990.4,282.2,338.9,49734.0,52474.0,280.9,293.3,52673.7,
456,36418.0,274.7,389.5,37205.4,49394.3,279.6,332.7,50093.1,52831.3,290.9,281.4,53034.2,
457,36568.7,274.4,370.1,37337.1,49546.5,281.5,333.2,50187.6,52935.9,283.7,269.3,53201.4,
458,36682.5,274.3,351.0,37433.8,49655.3,283.6,333.4,50241.6,52999.6,276.5,257.7,53323.9,
459,35614.0,277.7,341.2,36411.2,48373.5,291.2,320.3,48998.9,51751.6,267.1,260.6,52010.0,
460,34545.5,281.1,331.4,35388.7,47091.8,298.9,307.2,47756.3,50503.5,257.6,263.5,50696.2,
461,33346.7,285.2,319.0,34141.5,45538.7,307.8,291.2,46225.9,48900.6,256.5,258.2,49102.0,
462,32033.9,289.8,304.1,32697.7,43748.0,317.8,272.7,44443.6,46987.0,262.6,245.8,47262.5,
463,30704.7,295.7,289.9,31247.4,41941.4,328.4,254.8,42644.1,45058.6,270.0,233.0,45402.2,
464,28991.6,330.7,289.8,29645.6,39760.4,350.9,249.7,40440.7,42782.1,307.1,212.3,43055.6,
465,27278.4,365.6,289.7,28043.8,37579.4,373.5,244.6,38237.3,40505.6,344.1,191.7,40709.0,
466,25634.9,409.0,266.4,26439.4,35388.6,409.8,234.6,36037.0,38151.0,368.8,173.7,38369.3,
467,24047.5,459.0,224.3,24832.9,33189.8,457.2,220.7,33839.2,35733.4,383.4,157.7,36035.3,
468,22482.8,513.9,185.1,23258.9,31020.1,510.7,206.8,31683.6,33353.7,404.8,143.2,33741.2,
469,21217.9,633.1,183.3,22116.9,29237.3,645.6,194.5,30088.7,31478.0,516.1,147.9,31977.0,
470,19953.0,752.4,181.5,20974.9,27454.5,780.6,182.2,28493.8,29602.4,627.4,152.5,30212.8,
471,18689.9,918.4,183.5,19904.4,25713.3,963.9,165.7,26977.6,27726.9,797.9,150.8,28537.3,
472,17428.0,1116.6,188.2,18883.3,24000.9,1180.6,146.4,25515.6,25851.7,1009.2,144.6,26923.0,
473,16180.3,1336.1,191.9,17884.0,22305.1,1416.7,129.4,24081.3,23996.5,1231.3,138.1,25334.9,
474,15038.3,1713.8,187.5,17047.0,20734.0,1797.1,129.7,22853.3,22290.5,1533.5,129.0,23942.9,
475,13896.4,2091.4,183.2,16210.1,19162.8,2177.6,130.0,21625.3,20584.5,1835.7,119.9,22551.0,
