ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,
time,17:33:54,17:34:01,17:34:04,17:34:08,17:34:11,17:34:15,17:34:19,17:34:23,17:34:26,17:34:30,17:34:34,17:34:38,17:34:44,17:34:48,17:34:52,17:34:56,17:35:01,17:35:05,17:35:27,17:35:39,
386,97.6,87.8,122.6,144.0,172.3,75.3,93.5,81.4,95.1,68.5,76.2,50.5,124.6,77.9,91.5,69.3,131.2,118.2,201.5,279.7,
387,86.4,102.1,122.2,145.6,178.3,70.2,82.6,82.8,96.1,87.7,69.8,47.1,106.8,70.4,94.5,63.9,131.2,130.2,196.8,283.4,
388,74.4,115.8,125.5,145.1,180.8,67.4,70.9,83.8,100.5,125.2,56.0,47.9,79.9,61.8,99.6,63.4,128.8,149.1,185.6,280.7,
389,63.5,127.7,128.4,146.6,184.0,64.6,61.7,85.0,105.7,157.9,44.6,49.7,56.7,54.6,104.8,63.0,127.6,166.9,177.4,277.6,
390,62.3,125.2,127.5,164.8,192.6,62.0,74.7,87.2,117.7,148.9,54.6,59.1,64.1,60.0,109.8,63.1,136.4,175.2,195.6,270.5,
391,61.2,122.7,126.6,183.1,201.3,59.4,87.7,89.5,129.8,139.9,64.6,68.6,71.5,65.3,114.8,63.3,145.2,183.5,213.9,263.5,
392,70.0,124.7,133.7,188.3,200.1,66.1,102.0,98.6,126.7,135.1,73.2,75.7,79.6,82.0,116.0,59.0,147.3,190.0,220.9,256.4,
393,89.0,131.5,149.3,180.2,188.6,82.6,117.5,114.7,108.0,134.9,80.3,80.4,88.3,110.4,113.3,49.9,142.6,194.9,216.5,249.5,
394,107.9,138.3,164.9,172.1,177.1,99.0,133.0,130.8,89.3,134.6,87.4,85.1,97.0,138.8,110.6,40.9,137.9,199.7,212.0,242.5,
395,81.0,116.4,138.4,146.9,170.9,81.4,122.0,116.2,80.6,116.6,83.4,88.9,77.3,117.8,97.4,46.5,140.6,178.8,203.5,254.6,
396,48.1,90.7,106.3,119.4,165.4,59.4,107.6,97.6,73.2,96.3,78.0,92.7,53.8,90.3,82.8,54.0,144.3,154.6,194.5,269.2,
397,27.7,78.1,93.7,108.0,158.7,43.1,97.3,86.0,78.2,84.4,74.1,91.9,44.9,83.7,77.1,59.5,139.5,145.5,191.6,283.9,
398,39.5,98.9,131.0,137.9,149.1,41.7,97.6,92.7,115.3,94.0,73.7,79.5,73.4,131.0,94.5,59.9,112.7,175.4,204.5,298.8,
399,51.3,119.7,168.3,167.8,139.4,40.3,97.9,99.3,152.4,103.6,73.4,67.2,102.0,178.2,111.9,60.3,86.0,205.3,217.4,313.8,
400,38.0,91.3,149.9,164.5,144.9,39.1,78.7,88.8,123.1,92.8,70.9,36.5,99.2,146.7,106.3,53.2,75.3,193.8,220.0,294.9,
401,12.7,39.6,105.4,145.5,157.4,38.1,50.3,70.1,62.4,72.3,67.2,-2.8,81.7,78.2,89.9,42.5,72.2,162.8,217.7,260.0,
402,-8.4,-4.8,66.2,128.0,169.4,38.6,25.2,55.0,8.1,54.4,63.1,-35.3,66.1,17.2,76.9,33.3,69.3,134.9,216.6,230.6,
403,15.4,29.8,86.3,126.8,176.4,54.7,37.3,78.3,22.4,64.7,53.6,5.0,71.4,39.5,100.4,39.7,69.1,140.1,227.0,261.2,
404,39.1,64.5,106.3,125.5,183.4,70.8,49.4,101.6,36.7,75.0,44.2,45.4,76.7,61.7,123.9,46.1,68.9,145.3,237.5,291.9,
405,54.2,84.5,117.4,130.7,196.0,75.1,61.7,107.5,50.6,89.1,38.3,66.9,79.5,70.4,130.4,53.8,75.1,151.7,236.3,313.0,
406,60.4,89.3,119.1,142.5,214.4,67.2,74.4,95.4,64.0,107.4,36.3,68.7,79.7,65.1,119.3,62.9,88.0,159.2,223.0,324.2,
407,66.5,94.1,120.8,154.2,232.8,59.2,87.1,83.3,77.4,125.6,34.3,70.6,79.8,59.8,108.2,72.0,100.9,166.8,209.8,335.5,
408,68.5,110.3,134.2,167.3,243.4,65.5,83.7,92.3,100.8,124.1,42.8,69.1,84.5,64.4,108.2,86.3,94.6,181.6,218.1,362.9,
409,70.1,127.6,148.8,180.6,253.1,73.3,78.6,103.5,125.3,120.5,52.5,67.2,89.8,70.0,109.4,101.2,86.3,197.2,228.7,392.1,
410,71.7,146.5,161.5,201.3,263.6,80.3,75.5,111.7,136.5,115.4,59.4,68.3,98.0,78.8,105.6,111.2,88.8,208.9,241.3,409.8,
411,73.5,168.3,170.1,238.0,275.8,85.9,76.8,113.6,119.4,107.0,60.3,75.8,112.6,94.4,91.2,110.5,114.0,212.3,258.2,403.3,
