ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,
time,23:46:38,23:46:40,23:46:45,23:46:50,23:46:55,23:47:02,23:47:06,23:47:11,23:47:16,23:47:21,23:47:31,23:47:34,23:47:39,23:47:44,23:47:49,23:48:01,23:48:04,23:48:09,23:48:14,23:48:19,
378,-17.5,-12.9,-38.1,-43.9,14.1,-48.2,-27.5,-18.5,-15.0,1.4,-57.8,-33.2,-25.1,-35.7,26.0,-43.7,26.5,54.0,85.2,153.2,
379,-26.9,-24.0,-35.0,-42.5,7.2,-44.2,-36.8,-21.4,-22.0,-7.3,-66.8,-30.8,-24.3,-44.8,21.8,-58.8,21.8,47.9,85.0,149.8,
380,-48.1,-44.7,-24.7,-15.6,3.1,-35.9,-44.3,-25.7,-37.9,-7.9,-72.4,-26.6,-21.6,-43.5,10.5,-67.3,7.9,35.2,82.5,141.2,
381,-69.3,-65.5,-14.3,11.3,-1.0,-27.6,-51.9,-29.9,-53.8,-8.6,-78.0,-22.4,-18.9,-42.2,-0.7,-75.9,-6.0,22.5,80.0,132.6,
382,-56.4,-51.1,-22.7,9.3,-2.7,-35.8,-38.0,-25.5,-23.1,5.7,-67.4,-27.0,-15.5,-22.4,1.7,-58.1,5.7,24.7,75.6,123.7,
383,-42.1,-35.2,-31.8,6.2,-4.3,-44.6,-23.4,-20.7,9.4,20.6,-56.1,-32.0,-12.2,-1.8,4.7,-39.3,18.3,27.4,71.2,114.8,
384,-35.6,-30.0,-35.5,4.7,-10.4,-53.4,-17.9,-24.3,22.2,25.9,-50.9,-41.7,-13.0,4.0,1.4,-36.3,19.3,25.1,66.2,114.1,
385,-44.4,-45.5,-28.7,6.4,-25.1,-61.8,-30.3,-44.2,-3.7,12.6,-57.8,-60.7,-22.0,-19.1,-14.1,-63.9,-2.4,12.8,60.0,129.3,
386,-53.2,-61.0,-21.9,8.0,-39.9,-70.3,-42.7,-64.1,-29.6,-0.7,-64.6,-79.8,-31.0,-42.2,-29.6,-91.6,-24.2,0.5,53.9,144.4,
387,-57.8,-65.9,-19.0,0.3,-39.2,-64.2,-48.3,-72.5,-50.7,-0.0,-65.0,-87.2,-35.9,-39.0,-26.4,-92.1,-18.3,4.4,55.7,135.5,
388,-60.8,-66.7,-17.6,-11.0,-32.4,-52.5,-51.4,-76.5,-70.0,6.2,-62.9,-90.1,-39.3,-25.6,-15.8,-82.0,-1.6,14.6,60.6,117.3,
389,-62.6,-64.9,-15.2,-20.3,-26.4,-41.1,-54.1,-79.8,-84.8,11.9,-61.3,-91.1,-41.3,-13.8,-6.9,-72.2,11.8,24.8,66.8,100.1,
390,-54.5,-41.2,-3.6,-11.7,-26.7,-32.5,-53.4,-77.7,-60.9,13.2,-63.6,-76.2,-31.6,-15.2,-12.9,-64.5,-3.4,35.0,83.8,91.9,
391,-46.3,-17.5,8.0,-3.2,-26.9,-23.9,-52.7,-75.5,-37.1,14.5,-66.0,-61.2,-22.0,-16.7,-19.0,-56.8,-18.5,45.3,100.8,83.8,
392,-41.6,-6.4,18.2,5.9,-13.6,-22.0,-41.0,-64.5,-11.1,19.2,-60.4,-47.4,-6.0,-11.1,-18.3,-49.1,-20.5,55.7,109.2,98.9,
393,-40.5,-8.3,27.0,15.7,13.8,-27.1,-18.0,-44.3,17.0,27.5,-46.6,-34.7,16.6,1.8,-10.7,-41.4,-8.8,66.3,108.8,137.9,
394,-39.4,-10.2,35.7,25.4,41.2,-32.3,5.0,-24.1,45.1,35.8,-32.7,-21.9,39.2,14.6,-3.1,-33.8,3.0,77.0,108.3,177.0,
395,-52.4,-10.0,17.2,22.3,28.4,-44.4,-16.1,-31.4,18.3,29.2,-54.4,-23.5,10.2,-7.3,-7.8,-45.1,1.5,72.8,90.9,155.1,
396,-67.2,-9.5,-5.0,17.5,10.3,-57.4,-42.9,-42.4,-15.8,20.7,-80.8,-27.0,-25.5,-33.7,-14.2,-58.9,-1.7,66.7,71.2,125.2,
397,-75.5,-8.3,-17.2,14.6,-1.0,-62.4,-56.3,-47.9,-35.6,15.6,-91.5,-28.0,-47.3,-49.1,-19.5,-61.8,-1.9,64.2,62.7,113.0,
398,-66.6,-4.9,-3.9,16.7,5.3,-46.5,-35.0,-39.1,-19.0,19.6,-62.0,-22.8,-33.1,-36.5,-22.2,-36.5,5.7,71.0,82.9,146.1,
399,-57.7,-1.6,9.5,18.7,11.6,-30.6,-13.8,-30.4,-2.3,23.6,-32.5,-17.5,-18.9,-23.8,-24.8,-11.3,13.2,77.9,103.1,179.3,
400,-60.6,-6.6,-3.8,4.7,2.6,-47.3,-27.6,-42.9,-14.5,-1.7,-41.2,-27.4,-30.4,-31.2,-34.0,-25.1,11.0,61.5,98.9,170.6,
401,-69.1,-15.4,-29.6,-17.0,-13.7,-79.2,-58.0,-65.5,-40.3,-40.9,-68.0,-44.5,-54.1,-48.1,-46.2,-57.3,4.1,34.2,83.2,142.3,
402,-77.5,-25.2,-52.4,-36.6,-28.2,-107.9,-84.8,-86.5,-64.6,-74.7,-92.1,-61.3,-76.0,-63.4,-57.5,-86.6,-3.3,10.3,68.1,116.5,
403,-84.7,-44.5,-41.1,-33.7,-22.7,-101.0,-71.7,-90.3,-71.8,-51.0,-87.3,-75.4,-79.2,-61.3,-59.4,-84.1,-16.6,23.1,58.3,119.3,
404,-92.0,-63.9,-29.9,-30.8,-17.1,-94.1,-58.6,-94.1,-79.0,-27.3,-82.4,-89.4,-82.3,-59.3,-61.2,-81.6,-30.0,36.0,48.5,122.1,
405,-83.0,-58.3,-18.1,-17.6,0.9,-77.2,-45.5,-81.5,-62.7,-8.7,-72.6,-80.9,-71.0,-50.4,-48.5,-68.8,-24.3,53.7,55.2,127.0,
406,-57.2,-27.1,-5.8,6.0,31.8,-50.1,-32.3,-52.0,-22.1,4.6,-57.7,-49.0,-44.9,-34.3,-20.8,-45.5,1.0,76.6,78.8,134.2,
407,-31.4,4.2,6.5,29.7,62.7,-22.9,-19.0,-22.6,18.5,17.9,-42.8,-17.1,-18.8,-18.2,7.0,-22.1,26.3,99.4,102.4,141.4,
