Wavelength,W,R,G,B
562,13014,509.3,12769.7,167.2
563,12436,528.4,12180,151.3
564,11862.6,519.1,11571.5,151.5
565,11289.7,506.2,10960.5,153.7
566,10740.4,502.6,10402.5,139.7
567,10205.7,504.6,9877.2,115.8
568,9673,498.6,9346.9,103.3
569,9143.8,477.9,8807.3,111.6
570,8617.2,461.1,8267.8,118.6
571,8114.7,479.6,7728.7,113.6
572,7612.2,498,7189.5,108.7
573,7076.1,524.1,6656.8,134.4
574,6533.9,551.5,6125.3,165.7
575,6020.9,557.7,5621.9,170.5
576,5527.7,549.8,5137.5,157.6
577,5070.9,561.1,4678.4,142.5
578,4679.5,607,4264.4,123.7
579,4293.3,650.6,3852.6,107.1
580,3944.2,678.5,3456.1,107.2
581,3595.1,706.4,3059.7,107.3
582,3305.7,751.3,2678.7,108
583,3023.3,798.3,2299.5,108.8
584,2831.7,883.9,2018.5,86.7
585,2684.6,988.5,1785.6,53.3
586,2588.3,1119.3,1567.3,42.9
587,2553.1,1281.7,1366.6,60
588,2537.8,1451,1172,73.8
589,2585,1641.7,996.8,77.1
590,2638.2,1836.9,824.6,79.9
591,2852.8,2150.6,733.4,69.6
592,3067.3,2464.4,642.2,59.4
593,3436,2859.5,563.1,54.3
594,3834.9,3270.5,486.4,50.1
595,4256.9,3761.7,439,56.3
596,4692,4297.5,407.8,68.2
597,5238.2,4925.3,379.4,80.1
598,5918,5663.5,354.1,92.1
599,6638.8,6427.4,330.4,99.2
600,7469.4,7259.9,311,93.1
601,8313.6,8106.1,294,89
602,9285.1,9081.9,299.6,103
603,10256.6,10057.6,305.2,117
604,11436,11273.5,300.4,152.6
605,12631.9,12508.6,294.8,189.9
606,13984,13849.6,280.4,178
607,15384.8,15223.6,263.3,150.7
608,16916,16757.4,261.1,144.4
609,18532.6,18395.9,268.6,151.8
610,20285.8,20144.6,297.7,160
611,22204.4,22026.7,352.8,169.1
612,24110.9,23889.7,395.3,181.9
613,25990.3,25709.4,409.1,203.4
614,27905.8,27573.4,425.8,224.5
615,30001.7,29659,457.2,244.3
616,32101.1,31748.6,487.8,264.1
617,34303.2,33954.6,495.3,288.2
618,36505.3,36160.6,502.9,312.3
619,38682.8,38379.2,522.9,314.5
620,40857.7,40599.2,544.3,314.4
621,42998.7,42726.3,554.2,310.1
622,45130.2,44827.7,560.9,304.5
623,47166.6,46860.9,588.5,323.2
624,49155.4,48860.1,626.5,353.9
625,51021.8,50693.3,652,386.5
626,52791,52394.9,667.3,420.7
627,54432.2,54011.9,697.3,434.4
628,55919.8,55527.4,744.8,423.5
629,57332,56934.9,776.6,413.8
630,58608.6,58148.2,780.4,406.4
631,59761,59239.4,787.1,414.2
632,60571.5,59994.4,802.1,463.6
633,61309.9,60688.4,818.6,504.3
634,61723.5,61107.5,841.9,505.1
635,62077.7,61473.5,861.3,510.1
636,61914,61378.3,846.7,551.1
637,61746.3,61275,831.9,588.8
638,61455.5,60914.9,813.1,519.5
639,61164.7,60554.8,794.4,450.1
640,60160.5,59533.3,809.9,491.3
641,59130.1,58487.5,826.8,536.5
642,57680.2,57152.3,765.2,507.3
643,56185.9,55786.6,695.4,470.4
644,54471.4,54048.4,685.6,424.7
645,52718.3,52244.8,686.3,377.6
646,50836.9,50284.8,688.7,382.8
647,48924.1,48286.5,691.5,400.9
648,46987.2,46445,669.2,439.9
649,45042.8,44652.5,639.1,485.5
650,42999.6,42700.8,573.2,451.8
651,40919.2,40689.4,493.8,388.3
652,38905.3,38642.8,470.1,334.8
653,36920,36581,470.4,285.4
654,34898.8,34575.8,465.7,278.8
655,32860.3,32597.9,458.6,292.6
656,31022.2,30821.4,447.5,319.4
657,29287.4,29148.6,434.4,352.7
658,27483.2,27379.4,407,336.6
659,25641.7,25558.3,371.8,293.7
660,23970.1,23929.2,364.9,259.1
661,22391.4,22405,373.5,228.9
662,21000.9,20980.6,410.2,286.2
663,19711.9,19610,462.2,390.8
664,18486.6,18308.6,428.8,339.5
665,17294.4,17043.1,351.1,207.5
666,16198.8,15970.3,293.2,175.5
667,15150,14990.6,244.9,191.8
668,14198.1,14072.4,230.9,207.6
669,13288.6,13181,231.9,223.1
670,12499.6,12385.3,243.1,182.1
671,11756.6,11626,258.1,119.5
672,10984.5,10850.8,251.5,136.9
673,10203.2,10070.6,238,179.7
674,9521.5,9425.8,174.1,161
675,8864.7,8814.8,97.7,126.9
676,8359.8,8288.6,161.5,124.9
677,7882.2,7777.7,250.6,128.6
678,7470.4,7369.2,248.1,147.1
679,7065.7,6972,235.7,167.2
680,6618.9,6550.9,200.6,178.5
681,6174.4,6131.1,166.1,189.4
682,5871,5791.1,181.4,200.1
683,5563.6,5454.6,197.3,203.9
684,5220.6,5149,218.6,145.9
685,4881.4,4845.1,226.8,106.6
686,4559.4,4549,175.2,152.5
687,4291.1,4308.2,125.9,176.4
688,4171,4219.7,83.2,139.9
689,3997,4039.5,91.3,121
690,3726.6,3695.2,190,133.8
691,3532.3,3436.8,225,138.4
692,3428.6,3280.8,184.1,133.4
693,3322.9,3139.6,155.2,135.7
694,3215.7,3010,135.5,143.8
695,3059.7,2911.1,161.8,140.6
696,2880.1,2827,210.4,131.8
697,2699.6,2676.5,145.5,74.6
698,2518.8,2508.3,50.7,4.6
699,2432.3,2371.9,94.7,82.3
700,2355.5,2244.1,151.9,169.5
701,2298.5,2233.4,214.9,170.7
702,2228,2203.6,256.5,177.3
703,2097.1,2088.4,202.4,208.2
704,2000.3,2005.4,170,228.8
705,1973.8,1988.6,182,228.4
706,1929.1,1941.6,166,183.3
707,1864.5,1861.4,119.2,89.1
708,1772.8,1745.6,118.7,82.8
709,1665.3,1609.1,145.1,127.2
710,1595.6,1556.3,147.3,114.7
711,1535.4,1524.9,143.3,87.6
712,1532.6,1482,176.7,125.5
713,1514.5,1436.6,200.3,163.7
714,1392.3,1378.2,156.2,190.3
715,1319.7,1344,138.7,198.8
716,1351,1360.1,176.9,169.7
717,1375.1,1330.5,215.5,179.9
718,1392.6,1257.4,254.3,227.5
719,1318.1,1219.9,228.7,242.3
720,1205.7,1197,176.4,243.4
721,1119.6,1173.6,103.4,203.4
722,1044.6,1146.1,43.5,156.9
723,1033.6,1087.4,98.8,92.2
724,1016.7,1046.3,146.2,63.7
